requirement_id,algorithm,stage,artifact_type,profile,owner,detector_kind,normative_strength,constructibility,fault_family,detector,detector_status,mode,active_action,deployable_action,strict_action,valid_pass_artifact_count,negative_artifact_count,negative_artifacts,registry_mutation_families,observed_mutation_families,uncovered_mutation_families,coverage_status
MLKEM-SPKI-AID-PARAMS-ABSENT,ML-KEM,SPKI/public-key,spki,pkix-core,ca-preissuance,structural,must,covered,encoding/container,detector.algorithm_identifier.parameters_absent,implemented,strict,block,block,block,3,4,der-mut-mlkem768-cert-spki-aid-null | der-mut-mlkem768-cert-spki-aid-octet-params | der-mut-mlkem768-spki-aid-null-pub | der-mut-mlkem768-spki-aid-octet-params-pub,aid-oid-family-swap | aid-parameters-null | aid-parameters-present-non-null,aid-parameters-null | aid-parameters-present-non-null,aid-oid-family-swap,covered-block
MLKEM-CERT-KU-KEYENCIPHERMENT-ONLY,ML-KEM,certificate/profile,certificate,pkix-core,ca-preissuance,policy,must,covered,profile/usage-policy,detector.key_usage.mlkem_key_encipherment_only,implemented,strict,block,block,block,3,2,der-mut-mlkem768-cert-keyusage-empty | openssl-mut-mlkem768-keyusage-digital-signature-cert,keyusage-empty | keyusage-extra-prohibited-bit | keyusage-missing-key-encipherment,keyusage-empty | keyusage-extra-prohibited-bit | keyusage-missing-key-encipherment,,covered-block
MLKEM-SPKI-PUBLIC-KEY-LENGTH,ML-KEM,SPKI/public-key,spki,pkix-core,ca-preissuance,structural,must,covered,size/shape,detector.spki.payload_length,implemented,strict,block,block,block,3,4,der-mut-mldsa65-spki-oid-swapped-to-mlkem768-pub | der-mut-mlkem512-spki-oid-swapped-to-mlkem768-pub | der-mut-mlkem768-cert-spki-payload-truncated | der-mut-mlkem768-spki-payload-truncated-pub,spki-oid-length-mismatch | spki-public-key-extend | spki-public-key-truncate,aid-oid-family-swap | spki-oid-length-mismatch | spki-public-key-truncate,spki-public-key-extend,covered-block
MLKEM-SPKI-ENCODE-DECODE-IDENTITY,ML-KEM,SPKI/public-key,spki,pkix-core,ca-preissuance,structural,must,covered,field-domain,detector.mlkem.encode_decode_identity,implemented,strict,block,warn,block,3,1,der-mut-mlkem768-spki-unreduced-byteencode12-pub,mlkem-unreduced-byteencode12-value,mlkem-unreduced-byteencode12-value,,covered-block
MLDSA-SPKI-AID-PARAMS-ABSENT,ML-DSA,SPKI/public-key,spki,pkix-core,ca-preissuance,structural,must,covered,encoding/container,detector.algorithm_identifier.parameters_absent,implemented,strict,block,block,block,4,2,der-mut-mldsa65-spki-aid-null-pub | der-mut-mldsa65-spki-aid-octet-params-pub,aid-oid-family-swap | aid-parameters-null | aid-parameters-present-non-null,aid-parameters-null | aid-parameters-present-non-null,aid-oid-family-swap,covered-block
MLDSA-CERT-SIGNATURE-AID-PARAMS-ABSENT,ML-DSA,certificate/profile,certificate,pkix-core,ca-preissuance,structural,must,covered,encoding/container,detector.signature_algorithm.mldsa_parameters_absent,implemented,strict,block,block,block,4,2,der-mut-mldsa44-cert-signature-aid-null | der-mut-mldsa44-cert-signature-aid-octet-params,signature-aid-oid-family-swap | signature-aid-parameters-null | signature-aid-parameters-present-non-null,signature-aid-parameters-null | signature-aid-parameters-present-non-null,signature-aid-oid-family-swap,covered-block
MLDSA-CERT-KU-AT-LEAST-ONE-SIGNING-BIT,ML-DSA,certificate/profile,certificate,pkix-core,ca-preissuance,policy,must,covered,profile/usage-policy,detector.key_usage.mldsa_requires_signing_usage,implemented,strict,block,block,block,4,2,der-mut-mldsa65-cert-keyusage-empty | openssl-mut-mldsa65-keyusage-key-encipherment-cert,keyusage-empty | keyusage-missing-signature-bit,keyusage-empty | keyusage-key-encipherment | keyusage-missing-signature-bit,,covered-block
MLDSA-CERT-KU-NO-ENCIPHERMENT-OR-AGREEMENT,ML-DSA,certificate/profile,certificate,pkix-core,ca-preissuance,policy,must,covered,profile/usage-policy,detector.key_usage.mldsa_forbid_encipherment_agreement,implemented,strict,block,block,block,4,1,openssl-mut-mldsa65-keyusage-key-encipherment-cert,keyusage-data-encipherment | keyusage-decipher-only | keyusage-encipher-only | keyusage-key-agreement | keyusage-key-encipherment,keyusage-key-encipherment | keyusage-missing-signature-bit,keyusage-data-encipherment | keyusage-decipher-only | keyusage-encipher-only | keyusage-key-agreement,covered-block
MLDSA-SPKI-PUBLIC-KEY-LENGTH,ML-DSA,SPKI/public-key,spki,pkix-core,ca-preissuance,structural,must,covered,size/shape,detector.spki.payload_length,implemented,strict,block,block,block,4,2,der-mut-mldsa44-spki-oid-swapped-to-mldsa65-pub | der-mut-mldsa87-spki-payload-2602-pub,rfc9881-appendix-size-transcription-2602 | spki-oid-length-mismatch | spki-public-key-extend | spki-public-key-truncate,rfc9881-appendix-size-transcription-2602 | spki-oid-length-mismatch | spki-public-key-extend,spki-public-key-truncate,covered-block
MLDSA-PKIX-HASHML-FORBIDDEN,ML-DSA,certificate/profile,certificate,pkix-core,ca-preissuance,policy,must,covered,algorithm-policy,detector.algorithm_policy.hashml_dsa_forbidden,implemented,strict,block,block,block,4,1,der-mut-mldsa44-cert-signature-hashmldsa44,hashml-dsa-pkix-context | hashml-dsa-signature-oid-in-pkix-cert,hashml-dsa-pkix-context | hashml-dsa-signature-oid-in-pkix-cert,,covered-block
